province,zone_de_sante,cas_suspects,cas_probables,cas_confirmes,deces_suspects,deces_probables,deces_confirmes,contacts
Ituri,Bunia,,,142,,,14,
Ituri,Rwampara,,,98,,,19,
Ituri,Mongbwalu,,,92,,,25,
Ituri,Nyankunde,,,24,,,1,
Ituri,Bambu,,,5,,,2,
Ituri,Aru,,,3,,,1,
Ituri,Kilo,,,4,,,1,
Ituri,Nizi,,,5,,,0,
Ituri,Mangala,,,1,,,0,
Ituri,Damas,,,3,,,0,
Ituri,Aungba,,,1,,,0,
Ituri,Gety,,,1,,,0,
Ituri,Komanda,,,3,,,0,
Ituri,Lita,,,4,,,0,
Ituri,Logo,,,2,,,0,
Ituri,Mambasa,,,2,,,1,
Ituri,Rimba,,,3,,,0,
Ituri,Autres ZS (données non ventilées),,,94,,,10,
Ituri,,,,487,,,74,
Nord-Kivu,Katwa,,,11,,,8,
Nord-Kivu,Beni,,,5,,,3,
Nord-Kivu,Butembo,,,4,,,2,
Nord-Kivu,Oicha,,,2,,,2,
Nord-Kivu,Kalunguta,,,1,,,1,
Nord-Kivu,Kyondo,,,1,,,0,
Nord-Kivu,Goma,,,1,,,0,
Nord-Kivu,,,,25,,,16,
Sud-Kivu,Miti-Murhesa,,,3,,,1,
Sud-Kivu,,,,3,,,1,
,,,,515,,,91,
