count_start_date,count_end_date,count_type,cases_suspect,cases_probable,cases_confirmed,deaths_suspected,deaths_probable,deaths_confirmed,contacts,zone,province,sitrep_source,is_aggregate
02/06/2026,02/06/2026,Nouveaux,,,7,,,,,Rwampara,Ituri,MVE_SitRep_019_2026-06-03,FALSE
02/06/2026,02/06/2026,Nouveaux,,,5,,,,,Bunia,Ituri,MVE_SitRep_019_2026-06-03,FALSE
02/06/2026,02/06/2026,Nouveaux,,,3,,,,,Nyankunde,Ituri,MVE_SitRep_019_2026-06-03,FALSE
02/06/2026,02/06/2026,Nouveaux,,,3,,,,,Rimba,Ituri,MVE_SitRep_019_2026-06-03,FALSE
02/06/2026,02/06/2026,Nouveaux,,,1,,,,,Damas,Ituri,MVE_SitRep_019_2026-06-03,FALSE
02/06/2026,02/06/2026,Nouveaux,,,19,,,2,,Total,,MVE_SitRep_019_2026-06-03,TRUE
,02/06/2026,Cumules,,,85,,,8,,Bunia,Ituri,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,72,,,15,,Rwampara,Ituri,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,47,,,10,,Mongbwalu,Ituri,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,22,,,1,,Nyankunde,Ituri,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,2,,,2,,Bambu,Ituri,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,2,,,1,,Aru,Ituri,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,2,,,0,,Kilo,Ituri,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,2,,,0,,Nizi,Ituri,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,1,,,0,,Mangala,Ituri,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,2,,,0,,Damas,Ituri,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,1,,,0,,Aungba,Ituri,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,1,,,0,,Gety,Ituri,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,1,,,0,,Komanda,Ituri,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,1,,,0,,Lita,Ituri,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,1,,,0,,Logo,Ituri,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,2,,,1,,Mambasa,Ituri,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,3,,,0,,Rimba,Ituri,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,94,,,10,,Autres ZS (données non ventilées),Ituri,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,341,,,48,,,Ituri,MVE_SitRep_019_2026-06-03,TRUE
,02/06/2026,Cumules,,,7,,,5,,Katwa,Nord-Kivu,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,5,,,3,,Beni,Nord-Kivu,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,2,,,2,,Butembo,Nord-Kivu,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,2,,,2,,Oicha,Nord-Kivu,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,1,,,1,,Kalunguta,Nord-Kivu,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,1,,,0,,Kyondo,Nord-Kivu,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,1,,,0,,Goma,Nord-Kivu,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,19,,,13,,,Nord-Kivu,MVE_SitRep_019_2026-06-03,TRUE
,02/06/2026,Cumules,,,3,,,1,,Miti-Murhesa,Sud-Kivu,MVE_SitRep_019_2026-06-03,FALSE
,02/06/2026,Cumules,,,3,,,1,,,Sud-Kivu,MVE_SitRep_019_2026-06-03,TRUE
,02/06/2026,Cumules,,,363,,,62,,TOTAL,,MVE_SitRep_019_2026-06-03,TRUE
