count_start_date,count_end_date,count_type,cases_suspect,cases_probable,cases_confirmed,deaths_suspected,deaths_probable,deaths_confirmed,contacts,zone,province,sitrep_source,is_aggregate
12/05/2026,12/05/2026,Nouveaux,41.0,,6,,,1.0,87.0,Bunia,Ituri,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,14.0,,7,,,1.0,0.0,Rwampara,Ituri,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,5.0,,1,,,0.0,0.0,Mongbwalu,Ituri,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,0.0,,0,,,0.0,48.0,Bambu,Ituri,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,9.0,,2,,,0.0,207.0,Nyankunde,Ituri,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,1.0,,1,,,0.0,,Nizi,Ituri,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,1.0,,1,,,0.0,,Kilo,Ituri,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,70.0,0.0,18,,,2.0,342.0,,Ituri,MVE_SitRep_007_2026-05-22,TRUE
12/05/2026,12/05/2026,Nouveaux,,,0,,,0.0,,Goma,Nord-Kivu,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,,,0,,,0.0,,Butembo,Nord-Kivu,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,,,0,,,0.0,,Katwa,Nord-Kivu,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,,,1,,,1.0,,Miti Murhesa,Sud-Kivu,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,70.0,0.0,19,,,3.0,342.0,,,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,322.0,,14,,84.0,,176.0,Mongbwalu,Ituri,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,193.0,,31,,51.0,,621.0,Rwampara,Ituri,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,166.0,,15,,34.0,,290.0,Bunia,Ituri,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,38.0,,11,,6.0,,340.0,Nyankunde,Ituri,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,2.0,,1,,0.0,,176.0,Bambu,Ituri,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,3.0,,1,,1.0,,,Nizi,Ituri,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,1.0,,1,,0.0,,,Kilo Mission,Ituri,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,0.0,,4,,0.0,,0.0,Echantillons sans fiche,Ituri,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,0.0,,1,,0.0,,,Goma,Nord-Kivu,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,13.0,,2,,0.0,,,Katwa,Nord-Kivu,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,7.0,,1,,0.0,,,Butembo,Nord-Kivu,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,1.0,,1,,0.0,,,Miti Murhesa,Sud-Kivu,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,746.0,,83,,176.0,,1603.0,,,MVE_SitRep_007_2026-05-22,FALSE
